unnamed:_0,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk
209,55,1,2,1,4,2,1413,12,1,1
210,33,1,2,1,2,2,3074,9,5,1
211,45,0,1,1,2,2,3835,36,5,1
212,50,1,2,1,0,0,5293,27,0,0
213,66,1,3,1,0,3,1908,30,0,0
214,51,1,2,1,2,2,3342,36,5,1
215,39,0,1,1,2,1,932,6,3,1
216,31,1,2,1,0,0,3104,18,0,1
217,23,1,2,1,0,3,3913,36,5,1
218,24,1,1,2,0,0,3021,24,4,1
219,64,0,2,1,0,2,1364,10,1,1
220,26,1,1,1,0,1,625,12,5,1
221,23,0,2,2,2,0,1200,12,3,1
222,30,1,2,1,0,2,707,12,5,1
223,32,1,2,1,2,2,2978,24,0,1
224,30,1,2,1,0,2,4657,15,1,1
225,27,1,2,1,0,2,2613,36,6,1
226,27,1,2,1,4,1,10961,48,5,0
227,53,1,3,0,0,0,7865,12,4,0
228,22,1,2,1,0,2,1478,9,5,0
229,22,1,2,0,0,0,3149,24,4,1
230,26,1,2,1,0,3,4210,36,5,0
231,51,1,1,0,3,2,2507,9,1,1
232,35,1,2,1,1,2,2141,12,5,1
233,25,1,1,1,0,1,866,18,5,1
234,42,1,1,1,0,2,1544,4,5,1
235,30,1,3,1,0,0,1823,24,5,0
236,23,1,0,1,2,1,14555,6,1,0
237,61,1,1,2,1,1,2767,21,0,0
238,35,0,2,1,0,2,1291,12,5,1
239,39,1,2,1,0,0,2522,30,5,1
240,29,0,2,1,2,0,915,24,1,0
241,51,1,2,1,0,2,1595,6,5,1
242,24,1,2,0,0,0,4605,48,1,0
243,27,0,2,1,0,2,1185,12,0,1
244,35,0,1,1,3,2,3447,12,3,1
245,25,1,2,1,0,2,1258,24,0,1
246,52,1,2,1,0,2,717,12,5,1
247,35,1,2,2,1,2,1204,6,1,1
248,26,1,2,1,0,3,1925,24,4,1
249,22,0,2,2,0,2,433,18,5,0
250,39,0,1,1,4,0,666,6,1,1
251,46,0,1,1,0,3,2251,12,4,1
252,24,0,2,1,0,1,2150,30,1,0
253,35,1,2,1,1,2,4151,24,4,1
254,24,1,2,1,2,1,2030,9,4,1
255,27,1,1,1,2,1,7418,60,5,1
256,35,1,1,1,0,2,2684,24,5,1
257,29,1,2,0,0,0,2149,12,5,0
258,23,0,2,1,1,2,3812,15,1,1
259,57,0,1,1,1,2,1154,11,5,1
260,27,1,2,1,0,0,1657,12,4,1
261,55,0,2,1,0,0,1603,24,5,1
262,36,1,3,0,0,0,5302,18,1,1
263,57,0,1,0,0,2,2748,12,3,1
264,32,1,1,1,0,2,1231,10,1,1
265,37,1,2,1,0,1,802,15,5,0
266,36,1,2,1,2,2,6304,36,0,1
267,38,0,2,1,0,2,1533,24,5,1
268,45,1,3,1,0,0,8978,14,1,0
269,25,1,2,1,2,2,999,24,5,1
270,32,1,2,1,2,2,2662,18,1,1
271,37,0,2,2,3,2,1402,12,4,1
272,36,1,3,0,2,1,12169,48,1,1
273,28,1,2,1,0,1,3060,48,5,0
274,34,1,1,1,0,0,11998,30,6,0
275,32,1,2,1,0,2,2697,9,5,1
276,26,0,2,1,0,2,2404,18,5,1
277,49,1,1,1,2,0,1262,12,4,1
278,32,0,2,1,0,2,4611,6,4,0
279,29,1,3,2,1,2,1901,24,5,1
280,23,1,2,2,4,2,3368,15,1,1
281,50,1,2,1,0,2,1574,12,4,1
282,49,1,1,1,2,3,1445,18,5,1
283,63,1,2,1,2,2,1520,15,4,1
284,37,1,2,1,1,1,3878,24,1,1
285,35,0,1,1,0,0,10722,47,1,1
286,26,1,2,1,0,0,4788,48,1,1
287,31,1,3,0,1,1,7582,48,7,1
288,49,0,2,1,0,1,1092,12,5,1
289,48,1,2,1,0,0,1024,24,5,0
290,26,1,2,1,0,2,1076,12,0,1
291,28,1,3,2,0,1,9398,36,1,0
292,44,0,3,0,0,0,6419,24,1,1
293,56,1,2,0,0,3,4796,42,1,1
294,46,1,3,1,2,2,7629,48,0,1
295,26,0,2,1,0,1,9960,48,4,0
296,20,0,2,2,2,2,4675,12,1,1
297,45,1,1,1,2,2,1287,10,1,1
298,43,1,2,1,0,2,2515,18,4,1
299,32,1,2,1,4,1,2745,21,4,1
300,54,0,0,1,0,2,672,6,1,1
301,42,0,2,1,0,1,3804,36,5,0
302,37,1,1,1,2,3,1344,24,1,0
303,49,1,2,1,0,0,1038,10,1,1
304,44,1,2,0,3,2,10127,48,1,0
305,33,1,2,1,4,2,1543,6,4,1
306,24,0,1,2,2,2,4811,30,1,1
307,33,1,1,1,1,0,727,12,5,0
308,24,0,2,1,0,1,1237,8,4,0
309,22,1,1,2,0,1,276,9,1,1
310,40,1,0,0,2,1,5381,48,7,1
311,25,1,2,1,1,2,5511,24,4,1
312,26,0,2,1,0,3,3749,24,4,1
313,25,1,1,1,0,1,685,12,1,0
314,29,1,1,1,2,3,1494,4,1,1
315,31,1,2,1,0,0,2746,36,4,0
316,38,1,1,1,0,0,708,12,4,1
317,48,0,1,1,2,1,4351,24,4,1
318,32,1,2,1,0,2,701,12,3,1
319,27,0,1,1,0,0,3643,15,4,1
320,28,1,3,1,0,1,4249,30,1,0
321,32,1,2,1,0,0,1938,24,5,0
322,34,1,3,0,0,0,2910,24,1,1
323,28,1,2,1,4,0,2659,18,4,1
324,36,0,2,1,0,2,1028,18,1,1
325,39,1,1,1,0,0,3398,8,1,1
326,49,1,2,2,2,2,5801,12,4,1
327,34,0,2,1,4,2,1525,24,1,1
328,31,1,2,1,0,3,4473,36,5,1
329,28,1,2,1,0,1,1068,6,5,1
330,75,1,3,0,0,0,6615,24,1,1
331,30,0,2,1,1,2,1864,18,3,0
332,24,0,3,1,1,1,7408,60,1,0
333,24,0,1,2,1,2,11590,48,1,0
334,23,1,2,2,0,0,4110,24,4,0
335,44,1,3,2,0,0,3384,6,4,0
336,23,0,1,1,0,1,2101,13,5,1
337,24,0,2,2,2,0,1275,15,2,0
338,28,1,2,1,0,0,4169,24,4,1
339,31,1,1,1,0,1,1521,10,4,1
340,24,0,2,0,0,1,5743,24,3,1
341,26,0,1,2,0,0,3599,21,4,1
342,25,1,2,2,3,1,3213,18,5,1
343,33,1,3,1,0,1,4439,18,0,1
344,37,1,1,1,0,3,3949,10,1,1
345,43,0,1,1,0,2,1459,15,5,1
346,23,1,2,1,0,1,882,13,5,1
347,23,0,0,2,3,1,3758,24,5,1
348,34,1,1,1,1,2,1743,6,0,1
349,32,1,2,0,4,1,1136,9,3,0
350,23,0,2,2,0,2,1236,9,2,1
351,29,0,2,1,0,1,959,9,4,0
352,38,1,3,1,2,2,3229,18,1,1
353,28,1,2,2,0,0,6199,12,5,0
354,46,1,2,0,3,2,727,10,3,1
355,23,1,1,1,0,1,1246,24,1,0
356,49,1,2,1,2,2,2331,12,5,1
357,26,1,3,1,0,2,4463,36,5,0
358,28,1,2,1,0,2,776,12,5,1
359,23,0,2,2,0,0,2406,30,4,0
360,61,1,2,0,2,1,1239,18,3,1
361,37,1,3,1,2,3,3399,12,5,1
362,36,0,2,1,0,3,2247,12,1,1
363,21,1,2,2,0,2,1766,6,4,1
364,25,1,0,1,0,0,2473,18,4,0
365,36,1,2,1,0,2,1542,12,0,1
366,27,1,2,1,0,2,3850,18,1,1
367,22,0,2,2,0,0,3650,18,4,1
368,42,1,2,1,0,0,3446,36,4,0
369,40,0,2,2,0,1,3001,18,4,1
370,36,1,2,1,2,2,3079,36,1,1
371,33,1,2,1,0,2,6070,18,5,1
372,23,0,2,2,0,2,2146,10,4,1
373,63,1,3,0,2,2,13756,60,1,1
374,60,0,3,0,1,1,14782,60,7,0
375,37,0,2,2,0,0,7685,48,0,0
376,34,1,2,1,0,2,2320,18,5,1
377,36,1,2,0,2,2,846,7,5,1
378,57,1,3,0,0,1,14318,36,1,0
379,52,0,1,1,1,2,362,6,1,1
380,39,1,2,1,2,0,2212,20,4,1
381,38,0,3,0,0,1,12976,18,1,0
382,25,0,2,2,2,2,1283,22,1,1
383,26,1,2,1,0,3,1330,12,1,1
384,26,1,1,1,1,2,4272,30,0,1
385,25,0,2,1,0,2,2238,18,5,1
386,21,0,2,2,2,2,1126,18,5,1
387,40,1,3,1,0,1,7374,18,4,1
388,27,1,2,1,3,1,2326,15,0,1
389,27,0,2,1,0,2,1449,9,0,1
390,30,1,3,1,0,2,1820,18,1,1
391,19,0,1,2,4,1,983,12,4,1
392,39,1,3,0,0,0,3249,36,1,1
393,31,0,2,1,0,0,1957,6,5,1
394,31,1,3,1,0,2,2406,9,4,1
395,32,1,2,2,1,1,11760,39,3,1
396,55,0,3,0,0,0,2578,12,4,1
397,46,1,2,1,0,0,2348,36,4,1
398,46,1,2,2,0,1,1223,12,1,0
399,43,0,1,1,4,2,1516,24,5,1
400,39,1,2,1,0,2,1473,18,5,1
401,28,1,2,1,2,1,1887,18,0,1
402,27,1,2,1,0,2,8648,24,0,0
403,27,1,1,1,0,2,802,14,1,1
404,43,1,2,1,2,1,2899,18,1,1
405,22,1,2,1,0,1,2039,24,5,0
406,43,1,2,1,2,2,2197,24,1,1
407,27,1,2,1,0,0,1053,15,5,1
408,26,1,3,1,3,2,3235,24,5,1
409,28,1,2,1,3,3,939,12,1,0
410,20,0,2,1,0,1,1967,24,5,1
411,35,1,3,1,0,2,7253,33,1,1
412,42,1,3,1,0,2,2292,12,0,0
413,40,1,1,2,3,2,1597,10,1,1
414,35,0,2,1,2,0,1381,24,1,0
415,35,1,2,1,0,2,5842,36,1,1
416,33,1,1,1,0,0,2579,12,1,0
417,23,0,2,2,2,0,8471,18,3,1
418,31,0,3,1,3,2,2782,21,1,1
419,33,0,2,1,2,1,1042,18,1,0
420,20,0,2,2,4,2,3186,15,1,1
421,30,1,2,1,2,1,2028,12,1,1
422,47,1,1,1,0,1,958,12,1,1
423,34,1,3,1,1,2,1591,21,4,1
424,25,0,2,1,2,1,2762,12,4,0
425,21,1,2,2,0,1,2779,18,1,1
426,29,1,2,1,0,2,2743,28,5,1
427,46,1,2,1,4,2,1149,18,5,1
428,20,1,2,1,0,2,1313,9,4,1
429,55,0,0,0,0,0,1190,18,6,0
430,74,1,1,1,0,2,3448,5,0,1
431,29,1,3,1,0,1,11328,24,7,0
432,36,1,3,0,0,0,1872,6,4,1
433,33,1,2,1,0,2,2058,24,6,1
434,25,1,2,1,0,0,2136,9,4,1
435,25,1,2,1,2,1,1484,12,5,0
436,23,1,1,2,3,2,660,6,6,1
437,37,0,2,1,4,2,1287,24,1,1
438,65,1,0,1,0,0,3394,42,6,1
439,26,0,0,1,0,3,609,12,0,0
440,39,1,3,1,0,2,1884,12,1,1
441,30,0,2,1,0,0,1620,12,4,1
442,29,1,2,1,0,1,2629,20,7,1
443,41,1,1,1,0,2,719,12,3,0
444,30,0,3,1,0,1,5096,48,4,0
445,41,0,1,2,2,2,1244,9,3,1
446,34,0,2,1,0,0,1842,36,1,0
447,35,1,2,1,0,1,2576,7,5,1
448,55,0,3,1,2,3,1424,12,4,1
449,61,1,2,1,4,1,1512,15,6,0
450,30,1,3,1,2,2,11054,36,1,1
451,29,0,2,1,0,2,518,6,5,1
452,34,1,2,1,0,2,2759,12,4,1
453,35,1,3,1,0,2,2670,24,1,1
454,31,1,2,1,0,0,4817,24,1,0
455,29,0,3,1,0,2,2679,24,1,1
456,36,1,2,2,0,0,3905,11,1,1
457,35,1,2,0,0,0,3386,12,1,0
458,27,0,2,1,0,0,343,6,2,1
459,32,1,2,1,0,2,4594,18,5,1
460,37,1,2,1,0,0,3620,36,4,1
461,36,1,2,1,0,0,1721,15,1,1
462,34,0,3,2,0,1,3017,12,4,1
463,38,1,2,1,2,1,754,12,3,1
464,34,1,2,1,0,2,1950,18,0,1
465,63,1,2,1,0,0,2924,24,1,1
466,29,0,1,2,0,0,1659,24,5,0
467,32,1,2,1,2,2,7238,48,5,1
468,26,0,2,1,0,2,2764,33,0,1
469,35,1,1,1,0,2,4679,24,1,1
470,22,1,2,2,1,1,3092,24,5,0
471,23,0,2,1,0,0,448,6,3,0
472,28,1,1,1,0,0,654,9,1,0
473,36,1,3,1,2,2,1238,6,3,1
474,33,1,2,1,0,1,1245,18,5,0
475,26,0,2,2,0,0,3114,18,4,0
476,24,1,2,1,3,2,2569,39,1,1
477,25,1,2,1,0,3,5152,24,5,1
478,39,1,1,1,1,1,1037,12,0,1
479,44,1,2,1,0,0,1478,15,4,1
480,23,0,1,1,0,1,3573,12,5,1
481,26,1,2,1,0,1,1201,24,1,1
482,57,0,2,2,4,0,3622,30,4,1
483,30,0,2,1,4,2,960,15,4,1
484,44,1,2,1,3,2,1163,12,1,1
485,47,1,3,1,0,1,1209,6,1,0
486,52,1,2,1,0,2,3077,12,5,1
487,62,0,2,0,0,2,3757,24,1,1
488,35,1,1,2,1,2,1418,10,1,1
489,26,1,2,2,0,2,3518,6,1,1
490,26,1,2,1,0,2,1934,12,5,1
491,42,0,3,0,0,1,8318,27,0,0
492,27,0,2,1,1,2,1237,6,5,1
493,38,1,2,1,2,1,368,6,5,1
494,39,1,1,2,0,0,2122,12,1,1
495,20,1,2,1,2,0,2996,24,4,0
496,29,1,3,2,1,1,9034,36,4,0
497,40,1,2,1,0,2,1585,24,4,1
498,32,1,1,1,0,1,1301,18,5,1
499,28,1,2,1,1,3,1323,6,1,1
500,27,0,2,1,0,0,3123,24,1,0
501,42,1,2,0,0,0,5493,36,1,1
502,49,1,2,1,1,3,1126,9,5,1
503,38,1,2,1,1,1,1216,24,5,0
504,24,0,2,2,0,0,1207,24,1,0
505,27,1,1,1,2,2,1309,10,1,0
506,36,1,2,1,3,3,2360,15,1,1
507,34,1,3,1,1,1,6850,15,1,0
508,28,1,2,1,0,2,1413,24,5,1
509,45,1,3,1,1,2,8588,39,1,1
510,26,1,2,1,0,0,759,12,1,0
511,32,1,3,0,0,2,4686,36,1,1
512,26,1,2,2,0,3,2687,15,0,1
513,20,1,2,2,0,1,585,12,5,1
514,54,1,2,1,2,2,2255,24,1,1
515,37,0,2,1,0,0,609,6,1,1
516,40,1,1,1,0,0,1361,6,1,1
517,23,0,2,2,0,2,7127,36,4,0
518,43,1,2,1,1,0,1203,6,1,1
519,36,1,2,0,2,2,700,6,5,1
520,44,1,2,0,0,2,5507,24,6,1
521,24,0,2,1,0,0,3190,18,5,0
522,53,1,2,0,0,0,7119,48,4,0
523,23,0,2,1,1,2,3488,24,1,1
524,26,0,1,1,0,1,1113,18,5,1
525,30,1,2,1,0,1,7966,26,1,1
526,31,0,2,1,1,2,1532,15,3,1
527,42,1,1,1,0,2,1503,4,5,1
528,31,1,2,2,0,0,2302,36,5,0
529,41,1,1,1,0,0,662,6,1,1
530,32,1,2,1,0,1,2273,36,3,1
531,28,0,2,2,1,1,2631,15,1,0
532,41,1,2,2,0,2,1503,12,1,1
533,26,1,2,1,1,2,1311,24,5,1
534,25,1,2,1,2,2,3105,24,5,1
535,33,1,2,2,0,3,2319,21,3,0
536,75,0,3,1,2,0,1374,6,1,1
537,37,0,2,1,0,1,3612,18,4,1
538,42,1,3,0,0,0,7763,48,1,0
539,45,0,1,1,0,3,3049,18,4,1
540,23,1,2,2,0,1,1534,12,5,0
541,60,1,2,0,0,2,2032,24,1,1
542,31,1,2,1,2,0,6350,30,4,0
543,34,1,1,1,0,3,2864,18,4,0
544,61,1,1,1,0,2,1255,12,1,1
545,43,1,2,0,0,0,1333,24,1,0
546,37,0,2,1,0,2,2022,24,1,1
547,32,1,2,1,0,2,1552,24,5,1
548,24,0,1,1,0,0,626,12,5,0
549,35,1,2,0,2,2,8858,48,1,1
550,23,0,2,1,2,2,996,12,6,1
551,45,1,1,1,3,2,1750,6,5,1
552,34,1,2,1,0,0,6999,48,5,0
553,27,1,2,1,1,1,1995,12,1,1
554,67,0,3,1,0,1,1199,9,3,1
555,22,1,2,1,0,1,1331,12,5,0
556,28,0,2,1,1,1,2278,18,1,0
557,29,0,2,1,2,2,5003,21,1,0
558,27,1,2,1,0,0,3552,24,4,0
559,31,1,1,1,0,1,1928,18,4,0
560,49,1,2,0,2,0,2964,24,1,1
561,24,1,1,2,0,0,1546,24,5,0
562,29,0,2,1,0,3,683,6,5,1
563,37,1,2,0,2,1,12389,36,1,0
564,37,1,3,1,2,1,4712,24,0,1
565,23,0,2,2,1,1,1553,24,5,1
566,36,1,2,1,0,0,1372,12,1,0
567,34,1,2,1,4,2,2578,24,5,1
568,41,1,2,1,2,1,3979,48,5,1
569,31,0,2,1,0,0,6758,48,5,0
570,23,0,1,2,0,0,3234,24,4,0
571,38,1,2,1,0,2,5954,30,5,1
572,26,0,3,2,2,2,5433,24,1,1
573,22,0,1,1,0,0,806,15,0,1
574,27,1,1,1,0,1,1082,9,5,1
575,24,0,2,1,0,2,2788,15,4,1
576,27,0,2,1,0,1,2930,12,5,1
577,33,0,2,1,2,2,1927,24,3,1
578,27,1,2,1,0,1,2820,36,1,0
579,27,1,1,1,0,2,937,24,3,1
580,30,1,2,1,0,1,1056,18,1,0
581,49,1,1,1,0,1,3124,12,1,1
582,26,0,2,2,0,2,1388,9,4,1
583,33,1,1,2,0,1,2384,36,6,0
584,52,0,3,0,2,2,2133,12,1,1
585,20,0,2,2,0,0,2039,18,4,0
586,36,1,2,2,0,0,2799,9,1,1
587,21,1,1,1,0,0,1289,12,4,1
588,47,1,1,1,0,0,1217,18,2,0
589,60,1,2,1,0,0,2246,12,4,0
590,58,0,1,1,0,0,385,12,5,1
591,42,0,2,2,2,1,1965,24,1,1
592,36,0,1,1,4,2,1572,21,0,1
593,20,0,1,2,0,1,2718,24,1,0
594,40,1,3,1,2,0,1358,24,7,0
595,32,0,1,1,1,1,931,6,1,0
596,23,0,2,2,0,0,1442,24,1,0
597,36,1,1,1,0,1,4241,24,0,0
598,31,1,2,1,0,2,2775,18,1,0
599,32,1,2,0,0,2,3863,24,0,1
600,45,0,2,1,0,1,2329,7,5,1
601,30,0,2,1,0,1,918,9,4,0
602,34,0,1,0,0,1,1837,24,3,0
603,28,0,3,1,0,2,3349,36,4,0
604,23,0,2,1,0,3,1275,10,4,1
605,22,1,2,1,3,0,2828,24,4,1
606,74,1,3,1,0,2,4526,24,0,1
607,50,0,2,0,1,1,2671,36,5,0
